timestamp,solar_generation_kwh,load_kwh,electricity_price
2025-01-06 10:00:00,3.558,1.247,6.53
2025-01-06 11:00:00,3.827,1.21,4.407
2025-01-06 12:00:00,3.755,0.942,3.829
2025-01-06 13:00:00,3.578,1.005,4.387
2025-01-06 14:00:00,3.425,1.174,4.472
2025-01-06 15:00:00,2.984,1.336,4.538
2025-01-06 16:00:00,2.008,1.653,4.051
2025-01-06 17:00:00,0.856,1.993,4.11
2025-01-06 18:00:00,0.096,2.918,7.854
2025-01-06 19:00:00,0.047,2.848,8.319
2025-01-06 20:00:00,0.0,2.492,8.432
2025-01-06 21:00:00,0.0,2.035,7.933
2025-01-06 22:00:00,0.0,1.532,8.153
2025-01-06 23:00:00,0.039,1.114,4.53
2025-01-07 00:00:00,0.128,0.606,4.479
2025-01-07 01:00:00,0.046,0.63,4.287
2025-01-07 02:00:00,0.234,0.895,4.217
2025-01-07 03:00:00,0.019,0.778,3.989
2025-01-07 04:00:00,0.04,0.67,4.278
2025-01-07 05:00:00,0.0,0.589,3.682
2025-01-07 06:00:00,0.0,1.007,4.127
2025-01-07 07:00:00,1.216,1.6,6.159
2025-01-07 08:00:00,1.941,1.628,6.329
2025-01-07 09:00:00,2.709,1.542,6.315
2025-01-07 10:00:00,3.418,0.925,6.402
2025-01-07 11:00:00,3.982,1.031,4.558
2025-01-07 12:00:00,3.81,0.97,4.186
2025-01-07 13:00:00,3.65,0.798,4.308
2025-01-07 14:00:00,3.188,1.024,4.471
2025-01-07 15:00:00,2.731,1.068,4.313
2025-01-07 16:00:00,1.863,1.551,3.742
2025-01-07 17:00:00,0.943,1.483,3.826
2025-01-07 18:00:00,0.164,2.331,8.02
2025-01-07 19:00:00,0.0,2.083,8.064
2025-01-07 20:00:00,0.29,2.276,8.06
2025-01-07 21:00:00,0.056,1.535,8.126
2025-01-07 22:00:00,0.012,1.204,8.398
2025-01-07 23:00:00,0.041,0.959,4.028
2025-01-08 00:00:00,0.0,0.696,4.534
2025-01-08 01:00:00,0.0,0.971,4.089
2025-01-08 02:00:00,0.175,0.818,4.265
2025-01-08 03:00:00,0.188,0.763,3.965
2025-01-08 04:00:00,0.0,0.89,3.809
2025-01-08 05:00:00,0.076,0.904,4.487
2025-01-08 06:00:00,0.0,1.225,3.778
2025-01-08 07:00:00,1.244,1.853,6.355
2025-01-08 08:00:00,2.565,2.064,6.451
2025-01-08 09:00:00,3.549,1.908,6.566
2025-01-08 10:00:00,4.541,1.386,6.474
2025-01-08 11:00:00,5.258,1.237,4.123
2025-01-08 12:00:00,5.1,0.995,3.889
2025-01-08 13:00:00,4.907,1.099,4.284
2025-01-08 14:00:00,4.501,1.081,4.425
2025-01-08 15:00:00,3.759,1.351,4.037
2025-01-08 16:00:00,2.661,1.81,3.838
2025-01-08 17:00:00,1.335,2.171,3.975
2025-01-08 18:00:00,0.023,2.589,8.534
2025-01-08 19:00:00,0.15,3.0,8.291
2025-01-08 20:00:00,0.0,2.625,8.127
2025-01-08 21:00:00,0.0,2.225,8.699
2025-01-08 22:00:00,0.0,1.409,8.259
2025-01-08 23:00:00,0.193,0.945,4.262
2025-01-09 00:00:00,0.0,0.586,4.07
2025-01-09 01:00:00,0.098,0.666,3.756
2025-01-09 02:00:00,0.062,0.568,4.519
2025-01-09 03:00:00,0.0,0.564,4.335
2025-01-09 04:00:00,0.092,0.718,3.779
2025-01-09 05:00:00,0.065,0.645,4.259
2025-01-09 06:00:00,0.0,1.101,3.998
2025-01-09 07:00:00,1.12,1.533,6.46
2025-01-09 08:00:00,2.388,1.828,6.29
2025-01-09 09:00:00,3.485,1.48,6.245
2025-01-09 10:00:00,4.321,0.983,6.297
2025-01-09 11:00:00,4.92,0.866,3.597
2025-01-09 12:00:00,5.117,1.194,4.099
2025-01-09 13:00:00,4.524,0.842,4.128
2025-01-09 14:00:00,4.241,0.797,4.345
2025-01-09 15:00:00,3.545,0.908,4.375
2025-01-09 16:00:00,2.708,1.44,4.116
2025-01-09 17:00:00,1.257,1.772,3.767
2025-01-09 18:00:00,0.02,2.147,8.662
2025-01-09 19:00:00,0.0,2.606,7.924
2025-01-09 20:00:00,0.07,2.232,7.983
2025-01-09 21:00:00,0.021,1.844,8.119
2025-01-09 22:00:00,0.0,1.196,7.974
2025-01-09 23:00:00,0.0,0.857,3.774
2025-01-10 00:00:00,0.0,0.437,4.396
2025-01-10 01:00:00,0.033,0.659,3.871
2025-01-10 02:00:00,0.1,0.787,4.796
2025-01-10 03:00:00,0.05,0.795,4.158
2025-01-10 04:00:00,0.098,0.851,4.513
2025-01-10 05:00:00,0.0,0.847,4.08
2025-01-10 06:00:00,0.095,1.404,4.085
2025-01-10 07:00:00,0.949,1.73,6.339
2025-01-10 08:00:00,2.045,1.663,6.193
2025-01-10 09:00:00,2.637,1.413,6.159
2025-01-10 10:00:00,3.235,1.2,6.678
2025-01-10 11:00:00,3.701,1.034,4.186
2025-01-10 12:00:00,3.988,0.921,3.972
2025-01-10 13:00:00,3.797,1.001,4.362
2025-01-10 14:00:00,3.343,1.172,3.941
2025-01-10 15:00:00,2.729,1.246,3.896
2025-01-10 16:00:00,1.743,1.741,4.112
2025-01-10 17:00:00,0.877,1.974,4.482
2025-01-10 18:00:00,0.0,2.385,7.969
2025-01-10 19:00:00,0.175,2.846,8.392
2025-01-10 20:00:00,0.0,2.43,8.312
2025-01-10 21:00:00,0.007,2.051,8.153
2025-01-10 22:00:00,0.033,1.419,8.394
2025-01-10 23:00:00,0.097,0.819,3.638
2025-01-11 00:00:00,0.0,0.557,4.225
2025-01-11 01:00:00,0.112,0.996,4.329
2025-01-11 02:00:00,0.0,0.673,4.203
2025-01-11 03:00:00,0.0,0.662,4.712
2025-01-11 04:00:00,0.214,0.949,3.97
2025-01-11 05:00:00,0.103,1.018,4.311
2025-01-11 06:00:00,0.15,1.359,4.385
2025-01-11 07:00:00,1.02,1.814,5.954
2025-01-11 08:00:00,1.832,1.959,6.08
2025-01-11 09:00:00,2.779,1.98,6.74
2025-01-11 10:00:00,3.187,1.445,6.403
2025-01-11 11:00:00,3.544,1.082,4.299
2025-01-11 12:00:00,3.652,0.932,4.187
2025-01-11 13:00:00,3.511,1.293,4.424
2025-01-11 14:00:00,3.157,1.17,4.211
2025-01-11 15:00:00,2.553,1.202,4.162
2025-01-11 16:00:00,1.733,1.588,4.328
2025-01-11 17:00:00,0.99,1.866,4.169
2025-01-11 18:00:00,0.119,2.814,8.456
2025-01-11 19:00:00,0.005,2.845,7.929
2025-01-11 20:00:00,0.041,2.732,8.522
2025-01-11 21:00:00,0.132,2.065,7.889
2025-01-11 22:00:00,0.0,1.493,8.149
2025-01-11 23:00:00,0.0,1.092,4.074
2025-01-12 00:00:00,0.0,0.765,4.268
2025-01-12 01:00:00,0.0,0.678,4.559
2025-01-12 02:00:00,0.0,0.482,3.735
2025-01-12 03:00:00,0.003,0.743,4.171
2025-01-12 04:00:00,0.146,0.446,4.299
2025-01-12 05:00:00,0.187,0.753,4.105
2025-01-12 06:00:00,0.0,1.103,4.118
2025-01-12 07:00:00,1.015,1.893,6.316
2025-01-12 08:00:00,1.859,1.915,6.838
2025-01-12 09:00:00,2.294,1.688,6.491
2025-01-12 10:00:00,3.205,1.312,6.223
2025-01-12 11:00:00,3.266,1.101,4.078
2025-01-12 12:00:00,3.37,1.03,4.27
2025-01-12 13:00:00,3.151,1.056,4.306
2025-01-12 14:00:00,2.591,1.156,3.954
2025-01-12 15:00:00,2.133,1.25,4.221
2025-01-12 16:00:00,1.547,1.739,3.864
2025-01-12 17:00:00,0.795,1.892,4.188
2025-01-12 18:00:00,0.033,2.414,8.381
2025-01-12 19:00:00,0.008,2.552,7.71
2025-01-12 20:00:00,0.0,2.508,8.174
2025-01-12 21:00:00,0.0,1.99,8.437
2025-01-12 22:00:00,0.0,1.243,7.927
2025-01-12 23:00:00,0.035,1.151,4.092
2025-01-13 00:00:00,0.0,0.567,4.098
2025-01-13 01:00:00,0.005,0.597,4.462
2025-01-13 02:00:00,0.0,0.531,4.32
2025-01-13 03:00:00,0.0,0.684,4.226
2025-01-13 04:00:00,0.0,0.852,4.044
2025-01-13 05:00:00,0.247,0.739,3.881
2025-01-13 06:00:00,0.008,0.914,4.012
2025-01-13 07:00:00,0.894,1.508,6.244
2025-01-13 08:00:00,1.753,1.786,6.759
2025-01-13 09:00:00,2.374,1.605,5.93
2025-01-13 10:00:00,2.792,0.939,6.43
2025-01-13 11:00:00,3.088,0.966,4.671
2025-01-13 12:00:00,3.248,0.934,4.142
2025-01-13 13:00:00,3.166,0.876,4.312
2025-01-13 14:00:00,2.97,1.125,4.277
2025-01-13 15:00:00,2.382,0.945,4.178
2025-01-13 16:00:00,1.747,1.517,4.253
2025-01-13 17:00:00,0.952,1.751,4.5
2025-01-13 18:00:00,0.035,2.142,8.284
2025-01-13 19:00:00,0.0,2.442,7.288
2025-01-13 20:00:00,0.0,2.239,8.319
2025-01-13 21:00:00,0.0,1.606,8.543
2025-01-13 22:00:00,0.0,1.462,8.2
2025-01-13 23:00:00,0.049,1.057,4.233
2025-01-14 00:00:00,0.0,0.551,4.136
2025-01-14 01:00:00,0.0,0.825,4.209
2025-01-14 02:00:00,0.0,0.702,4.256
2025-01-14 03:00:00,0.074,0.598,3.94
2025-01-14 04:00:00,0.133,0.695,3.846
2025-01-14 05:00:00,0.053,0.918,3.817
2025-01-14 06:00:00,0.028,1.263,4.294
2025-01-14 07:00:00,1.151,1.456,6.483
2025-01-14 08:00:00,2.041,1.798,6.618
2025-01-14 09:00:00,3.115,1.839,6.729
2025-01-14 10:00:00,3.585,1.218,6.592
2025-01-14 11:00:00,4.028,1.127,4.406
2025-01-14 12:00:00,4.148,0.909,4.096
2025-01-14 13:00:00,4.089,0.987,4.285
2025-01-14 14:00:00,3.679,1.0,4.389
2025-01-14 15:00:00,2.983,1.072,4.561
2025-01-14 16:00:00,2.017,1.394,3.939
2025-01-14 17:00:00,0.953,1.912,4.132
2025-01-14 18:00:00,0.0,2.536,8.285
2025-01-14 19:00:00,0.038,2.748,8.354
2025-01-14 20:00:00,0.0,2.418,7.655
2025-01-14 21:00:00,0.004,1.905,8.461
2025-01-14 22:00:00,0.143,1.368,8.075
2025-01-14 23:00:00,0.058,0.909,4.2
2025-01-15 00:00:00,0.097,0.773,3.961
2025-01-15 01:00:00,0.117,0.776,4.225
2025-01-15 02:00:00,0.0,0.589,4.066
2025-01-15 03:00:00,0.065,0.581,4.309
2025-01-15 04:00:00,0.0,0.697,4.227
2025-01-15 05:00:00,0.293,0.67,4.568
2025-01-15 06:00:00,0.018,1.187,4.23
2025-01-15 07:00:00,1.245,1.554,6.764
2025-01-15 08:00:00,2.247,1.933,6.239
2025-01-15 09:00:00,3.247,1.444,6.514
2025-01-15 10:00:00,4.159,1.129,6.351
2025-01-15 11:00:00,4.312,1.049,3.802
2025-01-15 12:00:00,4.493,0.992,4.53
2025-01-15 13:00:00,4.783,0.885,4.559
2025-01-15 14:00:00,4.015,0.994,4.308
2025-01-15 15:00:00,3.262,1.195,4.098
2025-01-15 16:00:00,2.134,1.357,4.363
2025-01-15 17:00:00,1.158,1.774,4.202
2025-01-15 18:00:00,0.095,2.405,8.036
2025-01-15 19:00:00,0.147,2.803,8.324
2025-01-15 20:00:00,0.117,2.533,8.483
2025-01-15 21:00:00,0.074,1.918,8.33
2025-01-15 22:00:00,0.0,1.386,7.861
2025-01-15 23:00:00,0.0,1.098,4.41
2025-01-16 00:00:00,0.0,0.677,4.226
2025-01-16 01:00:00,0.009,0.842,4.11
2025-01-16 02:00:00,0.042,0.588,4.313
2025-01-16 03:00:00,0.0,0.62,4.141
2025-01-16 04:00:00,0.0,0.704,4.643
2025-01-16 05:00:00,0.0,0.824,3.676
2025-01-16 06:00:00,0.0,1.13,4.029
2025-01-16 07:00:00,1.45,1.586,6.722
2025-01-16 08:00:00,2.489,1.839,6.378
2025-01-16 09:00:00,3.51,1.812,5.82
2025-01-16 10:00:00,4.058,1.097,6.404
2025-01-16 11:00:00,4.877,1.155,4.104
2025-01-16 12:00:00,5.085,1.109,4.246
2025-01-16 13:00:00,4.909,1.008,4.06
2025-01-16 14:00:00,4.382,1.046,4.2
2025-01-16 15:00:00,3.686,0.912,3.846
2025-01-16 16:00:00,2.339,1.53,4.136
2025-01-16 17:00:00,1.104,1.766,3.985
2025-01-16 18:00:00,0.295,2.65,8.097
2025-01-16 19:00:00,0.0,2.53,7.723
2025-01-16 20:00:00,0.0,2.314,8.179
2025-01-16 21:00:00,0.0,1.793,8.237
2025-01-16 22:00:00,0.044,1.379,7.87
2025-01-16 23:00:00,0.103,0.865,4.358
2025-01-17 00:00:00,0.0,0.694,4.353
2025-01-17 01:00:00,0.0,0.834,4.452
2025-01-17 02:00:00,0.0,0.741,4.683
2025-01-17 03:00:00,0.235,0.507,3.968
2025-01-17 04:00:00,0.178,0.551,3.869
2025-01-17 05:00:00,0.0,0.836,4.174
2025-01-17 06:00:00,0.0,0.989,4.022
2025-01-17 07:00:00,0.676,1.753,6.474
2025-01-17 08:00:00,1.616,1.631,6.354
2025-01-17 09:00:00,2.049,1.161,6.055
2025-01-17 10:00:00,2.397,0.8,6.101
2025-01-17 11:00:00,3.075,1.007,4.523
2025-01-17 12:00:00,3.068,1.002,3.975
2025-01-17 13:00:00,2.979,0.986,4.056
2025-01-17 14:00:00,2.681,1.019,4.063
2025-01-17 15:00:00,2.0,0.969,4.222
2025-01-17 16:00:00,1.549,1.355,4.207
2025-01-17 17:00:00,0.85,1.81,4.588
2025-01-17 18:00:00,0.153,2.121,8.621
2025-01-17 19:00:00,0.0,2.583,8.217
2025-01-17 20:00:00,0.0,2.025,8.157
2025-01-17 21:00:00,0.0,1.852,8.579
2025-01-17 22:00:00,0.0,1.26,8.019
2025-01-17 23:00:00,0.0,0.978,4.19
2025-01-18 00:00:00,0.12,0.707,4.399
2025-01-18 01:00:00,0.0,0.69,4.171
2025-01-18 02:00:00,0.0,0.775,4.363
2025-01-18 03:00:00,0.071,0.884,4.562
2025-01-18 04:00:00,0.0,0.77,4.044
2025-01-18 05:00:00,0.003,0.768,4.605
2025-01-18 06:00:00,0.044,1.118,4.498
2025-01-18 07:00:00,0.584,1.34,6.599
2025-01-18 08:00:00,1.638,1.837,6.068
2025-01-18 09:00:00,2.304,1.822,6.606
2025-01-18 10:00:00,2.845,1.092,6.301
2025-01-18 11:00:00,2.895,1.113,4.411
2025-01-18 12:00:00,3.073,0.891,3.911
2025-01-18 13:00:00,3.035,0.967,3.679
2025-01-18 14:00:00,2.899,1.108,4.137
2025-01-18 15:00:00,2.009,1.069,4.508
2025-01-18 16:00:00,1.298,1.509,3.905
2025-01-18 17:00:00,0.941,1.775,4.301
2025-01-18 18:00:00,0.068,2.617,8.149
2025-01-18 19:00:00,0.045,2.45,8.498
2025-01-18 20:00:00,0.0,2.329,8.194
2025-01-18 21:00:00,0.0,1.883,8.442
2025-01-18 22:00:00,0.035,1.118,8.169
2025-01-18 23:00:00,0.089,0.721,3.931
2025-01-19 00:00:00,0.049,0.957,4.317
2025-01-19 01:00:00,0.079,1.059,4.147
2025-01-19 02:00:00,0.0,0.785,4.31
2025-01-19 03:00:00,0.0,0.614,4.777
2025-01-19 04:00:00,0.039,0.677,4.429
2025-01-19 05:00:00,0.0,0.856,4.341
2025-01-19 06:00:00,0.0,1.249,4.678
2025-01-19 07:00:00,1.474,1.622,6.273
2025-01-19 08:00:00,2.69,1.875,6.306
2025-01-19 09:00:00,3.984,1.46,6.616
2025-01-19 10:00:00,4.699,1.252,6.118
2025-01-19 11:00:00,5.452,1.291,4.44
2025-01-19 12:00:00,5.297,1.123,4.301
2025-01-19 13:00:00,5.1,1.01,4.291
2025-01-19 14:00:00,4.812,1.094,4.273
2025-01-19 15:00:00,4.051,1.4,3.483
2025-01-19 16:00:00,2.701,1.615,3.762
2025-01-19 17:00:00,1.429,2.107,3.928
2025-01-19 18:00:00,0.04,2.417,8.032
2025-01-19 19:00:00,0.177,2.706,8.316
2025-01-19 20:00:00,0.0,2.751,8.351
2025-01-19 21:00:00,0.0,2.026,7.848
2025-01-19 22:00:00,0.142,1.341,8.149
2025-01-19 23:00:00,0.0,0.929,4.374
2025-01-20 00:00:00,0.0,0.814,4.095
2025-01-20 01:00:00,0.268,0.565,4.515
2025-01-20 02:00:00,0.164,0.651,4.757
2025-01-20 03:00:00,0.119,0.874,4.207
2025-01-20 04:00:00,0.0,0.76,4.298
2025-01-20 05:00:00,0.168,0.931,3.972
2025-01-20 06:00:00,0.099,1.349,4.364
2025-01-20 07:00:00,1.484,1.679,6.168
2025-01-20 08:00:00,2.59,1.759,6.459
2025-01-20 09:00:00,3.8,1.659,5.661
2025-01-20 10:00:00,4.517,1.373,6.234
2025-01-20 11:00:00,5.248,1.004,4.56
2025-01-20 12:00:00,5.371,1.085,4.781
2025-01-20 13:00:00,5.387,1.003,4.052
2025-01-20 14:00:00,4.627,1.162,4.174
2025-01-20 15:00:00,3.763,1.462,4.171
2025-01-20 16:00:00,2.97,1.689,4.646
2025-01-20 17:00:00,1.437,2.124,4.019
2025-01-20 18:00:00,0.0,2.649,8.447
2025-01-20 19:00:00,0.005,2.69,7.86
2025-01-20 20:00:00,0.0,2.382,8.227
2025-01-20 21:00:00,0.135,2.007,7.635
2025-01-20 22:00:00,0.0,1.397,8.724
2025-01-20 23:00:00,0.0,0.978,4.626
2025-01-21 00:00:00,0.014,0.788,4.394
2025-01-21 01:00:00,0.0,0.854,3.857
2025-01-21 02:00:00,0.039,0.77,4.046
2025-01-21 03:00:00,0.0,0.678,3.932
2025-01-21 04:00:00,0.0,0.648,4.281
2025-01-21 05:00:00,0.0,0.989,3.905
2025-01-21 06:00:00,0.0,1.156,4.531
2025-01-21 07:00:00,1.016,1.676,6.525
2025-01-21 08:00:00,1.634,1.939,6.899
2025-01-21 09:00:00,2.684,1.709,6.537
2025-01-21 10:00:00,3.375,0.991,5.979
2025-01-21 11:00:00,3.67,1.078,4.528
2025-01-21 12:00:00,3.736,0.812,3.883
2025-01-21 13:00:00,3.315,1.005,4.153
2025-01-21 14:00:00,3.217,1.224,4.5
2025-01-21 15:00:00,2.648,1.022,4.354
2025-01-21 16:00:00,1.953,1.705,4.445
2025-01-21 17:00:00,0.837,2.238,3.96
2025-01-21 18:00:00,0.09,2.376,7.967
2025-01-21 19:00:00,0.182,2.796,8.41
2025-01-21 20:00:00,0.028,2.566,8.541
2025-01-21 21:00:00,0.0,1.783,7.999
2025-01-21 22:00:00,0.066,1.455,7.808
2025-01-21 23:00:00,0.0,0.949,4.109
2025-01-22 00:00:00,0.0,0.781,4.402
2025-01-22 01:00:00,0.0,0.641,4.235
2025-01-22 02:00:00,0.0,0.551,3.965
2025-01-22 03:00:00,0.0,0.553,4.241
2025-01-22 04:00:00,0.088,0.527,4.206
2025-01-22 05:00:00,0.0,0.872,4.197
2025-01-22 06:00:00,0.0,0.981,4.207
2025-01-22 07:00:00,1.465,1.299,6.486
2025-01-22 08:00:00,2.735,1.769,6.538
2025-01-22 09:00:00,3.582,1.55,5.995
2025-01-22 10:00:00,4.209,1.245,6.154
2025-01-22 11:00:00,4.953,0.904,3.848
2025-01-22 12:00:00,5.164,0.873,4.294
2025-01-22 13:00:00,5.062,0.989,4.26
2025-01-22 14:00:00,4.679,0.878,4.186
2025-01-22 15:00:00,3.802,1.328,3.845
2025-01-22 16:00:00,2.555,1.697,4.327
2025-01-22 17:00:00,1.365,1.81,4.104
2025-01-22 18:00:00,0.035,2.341,8.189
2025-01-22 19:00:00,0.009,2.519,8.333
2025-01-22 20:00:00,0.35,2.158,8.281
2025-01-22 21:00:00,0.0,1.906,8.212
2025-01-22 22:00:00,0.091,1.436,8.248
2025-01-22 23:00:00,0.136,0.655,4.598
2025-01-23 00:00:00,0.0,0.675,4.236
2025-01-23 01:00:00,0.0,0.808,4.471
2025-01-23 02:00:00,0.0,0.892,4.202
2025-01-23 03:00:00,0.0,0.602,4.326
2025-01-23 04:00:00,0.0,0.885,3.827
2025-01-23 05:00:00,0.006,0.921,4.492
2025-01-23 06:00:00,0.0,1.19,4.073
2025-01-23 07:00:00,0.967,1.825,6.304
2025-01-23 08:00:00,1.545,1.823,6.497
2025-01-23 09:00:00,2.014,1.85,6.432
2025-01-23 10:00:00,3.012,1.142,6.374
2025-01-23 11:00:00,3.256,1.347,4.026
2025-01-23 12:00:00,3.174,1.08,4.27
2025-01-23 13:00:00,2.956,1.059,3.8
2025-01-23 14:00:00,2.742,1.186,4.143
2025-01-23 15:00:00,2.032,1.441,4.291
2025-01-23 16:00:00,1.487,1.692,3.825
2025-01-23 17:00:00,0.692,2.001,4.507
2025-01-23 18:00:00,0.0,2.744,8.065
2025-01-23 19:00:00,0.03,2.908,8.418
2025-01-23 20:00:00,0.0,2.479,7.855
2025-01-23 21:00:00,0.0,1.916,8.303
2025-01-23 22:00:00,0.0,1.742,7.766
2025-01-23 23:00:00,0.024,0.918,4.077
2025-01-24 00:00:00,0.028,0.831,4.087
2025-01-24 01:00:00,0.031,0.726,4.159
2025-01-24 02:00:00,0.0,0.33,4.36
2025-01-24 03:00:00,0.0,0.485,4.232
2025-01-24 04:00:00,0.0,0.565,4.352
